truetime,L,R,B,D,C
1.3350000000,22.5741299064,122.5741299064,77.4258700936,0.0000000000,0.0000000000
1.3400000000,22.5134563464,122.5134563464,77.4865436536,0.0000000000,0.0000000000
1.3450000000,22.4532813656,122.4532813656,77.5467186344,0.0000000000,0.0000000000
1.3500000000,22.3936005078,122.3936005078,77.6063994922,0.0000000000,0.0000000000
1.3550000000,22.3344093624,122.3344093624,77.6655906376,0.0000000000,0.0000000000
1.3600000000,22.2757035635,122.2757035635,77.7242964365,0.0000000000,0.0000000000
1.3650000000,22.2174787895,122.2174787895,77.7825212105,0.0000000000,0.0000000000
1.3700000000,22.1597307630,122.1597307630,77.8402692370,0.0000000000,0.0000000000
1.3750000000,22.1024552493,122.1024552493,77.8975447507,0.0000000000,0.0000000000
1.3800000000,22.0456480570,122.0456480570,77.9543519430,0.0000000000,0.0000000000
1.3850000000,21.9893050367,121.9893050367,78.0106949633,0.0000000000,0.0000000000
1.3900000000,21.9334220807,121.9334220807,78.0665779193,0.0000000000,0.0000000000
1.3950000000,21.8779951227,121.8779951227,78.1220048773,0.0000000000,0.0000000000
1.4000000000,21.8230201371,121.8230201371,78.1769798629,0.0000000000,0.0000000000
1.4050000000,21.7684931385,121.7684931385,78.2315068615,0.0000000000,0.0000000000
1.4100000000,21.7144101815,121.7144101815,78.2855898185,0.0000000000,0.0000000000
1.4150000000,21.6607673598,121.6607673598,78.3392326402,0.0000000000,0.0000000000
1.4200000000,21.6075608062,121.6075608062,78.3924391938,0.0000000000,0.0000000000
1.4250000000,21.5547866918,121.5547866918,78.4452133082,0.0000000000,0.0000000000
1.4300000000,21.5024412256,121.5024412256,78.4975587744,0.0000000000,0.0000000000
1.4350000000,21.4505206543,121.4505206543,78.5494793457,0.0000000000,0.0000000000
1.4400000000,21.3990212615,121.3990212615,78.6009787385,0.0000000000,0.0000000000
1.4450000000,21.3479393676,121.3479393676,78.6520606324,0.0000000000,0.0000000000
1.4500000000,21.2972713291,121.2972713291,78.7027286709,0.0000000000,0.0000000000
1.4550000000,21.2470135384,121.2470135384,78.7529864616,0.0000000000,0.0000000000
1.4600000000,21.1971624233,121.1971624233,78.8028375767,0.0000000000,0.0000000000
1.4650000000,21.1477144466,121.1477144466,78.8522855534,0.0000000000,0.0000000000
1.4700000000,21.0986661055,121.0986661055,78.9013338945,0.0000000000,0.0000000000
1.4750000000,21.0500139317,121.0500139317,78.9499860683,0.0000000000,0.0000000000
1.4800000000,21.0017544904,121.0017544904,78.9982455096,0.0000000000,0.0000000000
1.4850000000,20.9538843804,120.9538843804,79.0461156196,0.0000000000,0.0000000000
1.4900000000,20.9064002335,120.9064002335,79.0935997665,0.0000000000,0.0000000000
1.4950000000,20.8592987141,120.8592987141,79.1407012859,0.0000000000,0.0000000000
1.5000000000,20.8125765189,120.8125765189,79.1874234811,0.0000000000,0.0000000000
1.5050000000,20.7662303766,120.7662303766,79.2337696234,0.0000000000,0.0000000000
1.5100000000,20.7202570473,120.7202570473,79.2797429527,0.0000000000,0.0000000000
1.5150000000,20.6746533224,120.6746533224,79.3253466776,0.0000000000,0.0000000000
1.5200000000,20.6294160243,120.6294160243,79.3705839757,0.0000000000,0.0000000000
1.5250000000,20.5845420056,120.5845420056,79.4154579944,0.0000000000,0.0000000000
1.5300000000,20.5400281492,120.5400281492,79.4599718508,0.0000000000,0.0000000000
1.5350000000,20.4958713680,120.4958713680,79.5041286320,0.0000000000,0.0000000000
1.5400000000,20.4520686041,120.4520686041,79.5479313959,0.0000000000,0.0000000000
1.5450000000,20.4086168290,120.4086168290,79.5913831710,0.0000000000,0.0000000000
1.5500000000,20.3655130429,120.3655130429,79.6344869571,0.0000000000,0.0000000000
1.5550000000,20.3227542747,120.3227542747,79.6772457253,0.0000000000,0.0000000000
1.5600000000,20.2803375812,120.2803375812,79.7196624188,0.0000000000,0.0000000000
1.5650000000,20.2382600474,120.2382600474,79.7617399526,0.0000000000,0.0000000000
1.5700000000,20.1965187857,120.1965187857,79.8034812143,0.0000000000,0.0000000000
1.5750000000,20.1551109359,120.1551109359,79.8448890641,0.0000000000,0.0000000000
1.5800000000,20.1140336648,120.1140336648,79.8859663352,0.0000000000,0.0000000000
1.5850000000,20.0732841658,120.0732841658,79.9267158342,0.0000000000,0.0000000000
1.5900000000,20.0328596588,120.0328596588,79.9671403412,0.0000000000,0.0000000000
1.5950000000,19.9927573896,119.9927573896,80.0072426104,0.0000000000,0.0000000000
1.6000000000,19.9529746302,119.9529746302,80.0470253698,0.0000000000,0.0000000000
1.6050000000,19.9135086778,119.9135086778,80.0864913222,0.0000000000,0.0000000000
1.6100000000,19.8743568550,119.8743568550,80.1256431450,0.0000000000,0.0000000000
1.6150000000,19.8355165095,119.8355165095,80.1644834905,0.0000000000,0.0000000000
